Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,File,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,,,Microsoft.Extensions.Logging 7.0.0,,,,,"Microsoft.Extensions.Logging, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 8.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,File,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,File,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,,,System.Security.Cryptography.ProtectedData 7.0.1,,,,,"System.Security.Cryptography.ProtectedData, 7.0.1  Recommendation:  Remove System.Security.Cryptography.ProtectedData, and replace with new package System.Security.Cryptography.ProtectedData 8.0.0"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,File,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,,,Microsoft.Identity.Client 4.55.0,,,,,"Microsoft.Identity.Client, 4.55.0  Recommendation:  Microsoft.Identity.Client, 4.84.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,File,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,,,Microsoft.Identity.Client 4.55.0,,,,,"Microsoft.Identity.Client, 4.55.0  Recommendation:  Move to latest Microsoft.Identity.Client. See https://aka.ms/msal/LTS for details. Remove Microsoft.Identity.Client, and replace with new package Microsoft.Identity.Client, 4.84.0"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,File,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,,,System.IdentityModel.Tokens.Jwt 6.32.1,,,,,"System.IdentityModel.Tokens.Jwt, 6.32.1  Recommendation:  System.IdentityModel.Tokens.Jwt, 8.18.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,File,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,,,System.IdentityModel.Tokens.Jwt 6.32.1,,,,,"System.IdentityModel.Tokens.Jwt, 6.32.1  Recommendation:  Move to latest https://aka.ms/IdentityModel/LTS Remove System.IdentityModel.Tokens.Jwt, and replace with new package System.IdentityModel.Tokens.Jwt, 8.18.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,File,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net8.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,File,FileShareService.DesktopClient.Core\TokenCacheHelper.cs,45,20,T:System.Security.Cryptography.DataProtectionScope,,,,,"File.WriteAllBytes(CacheFilePath,                                         ProtectedData.Protect(args.TokenCache.SerializeMsalV3(),                                                               null,                                                               DataProtectionScope.CurrentUser)                                        );"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FileShareService.DesktopClient.Core\FileShareService.DesktopClient.Core.csproj,File,FileShareService.DesktopClient.Core\TokenCacheHelper.cs,45,20,T:System.Security.Cryptography.DataProtectionScope,,,,,"File.WriteAllBytes(CacheFilePath,                                         ProtectedData.Protect(args.TokenCache.SerializeMsalV3(),                                                               null,                                                               DataProtectionScope.CurrentUser)                                        );"
